time	V(n001)	V(n003)	I(R1)
6.650186866713997e-04	2.400000e+01	1.204612e+01	2.007687e+00
6.650191642454362e-04	2.400000e+01	1.204615e+01	2.007691e+00
6.650200000000001e-04	2.400000e+01	1.204619e+01	2.007698e+00
6.653551243732077e-04	2.400000e+01	1.206030e+01	2.010049e+00
6.656902487464153e-04	2.400000e+01	1.207214e+01	2.012024e+00
6.660253731196229e-04	2.400000e+01	1.208173e+01	2.013622e+00
6.663604974928305e-04	2.400000e+01	1.208906e+01	2.014843e+00
6.666956218660381e-04	2.400000e+01	1.209412e+01	2.015687e+00
6.670307462392457e-04	2.400000e+01	1.209693e+01	2.016155e+00
6.673658706124533e-04	2.400000e+01	1.209747e+01	2.016246e+00
6.683424331124533e-04	2.400000e+01	1.209028e+01	2.015047e+00
6.685792283821028e-04	2.400000e+01	1.208659e+01	2.014432e+00
6.688160236517524e-04	2.400000e+01	1.208166e+01	2.013610e+00
6.690528189214019e-04	2.400000e+01	1.207548e+01	2.012580e+00
6.692896141910514e-04	2.400000e+01	1.206805e+01	2.011342e+00
6.695264094607010e-04	2.400000e+01	1.205938e+01	2.009897e+00
6.697632047303505e-04	2.400000e+01	1.204946e+01	2.008244e+00
6.700000000000000e-04	2.400000e+01	1.203830e+01	2.006384e+00
6.700004999999722e-04	2.400000e+01	1.203828e+01	2.006380e+00
6.700014999999165e-04	2.400000e+01	1.203823e+01	2.006372e+00
6.700034999998051e-04	2.400000e+01	1.203813e+01	2.006356e+00
6.700100000000000e-04	2.400000e+01	1.203782e+01	2.006304e+00
6.703835089155411e-04	2.400000e+01	1.202242e+01	2.003736e+00
6.707570178310821e-04	2.400000e+01	1.200972e+01	2.001621e+00
6.711305267466232e-04	2.400000e+01	1.199974e+01	1.999957e+00
6.715040356621644e-04	2.400000e+01	1.199248e+01	1.998747e+00
6.718775445777055e-04	2.400000e+01	1.198793e+01	1.997988e+00
6.722510534932465e-04	2.400000e+01	1.198609e+01	1.997682e+00
6.726245624087876e-04	2.400000e+01	1.198697e+01	1.997829e+00
6.736011249087876e-04	2.400000e+01	1.199777e+01	1.999628e+00
6.741453748175753e-04	2.400000e+01	1.201102e+01	2.001837e+00
